CPU Low (ns)	CPU Medium (ns)	CPU High (ns)	CPU Medium & Memory Intensity (ns)	CPU High & Memory Intensity (ns)
8737130	10380753	10241236	9982353	8967346
9243363	9645143	9696285	8625171	52159916
10110108	9447808	8964229	9488802	6924643
9945807	10502854	9209703	11132856	6103391
7741407	9142019	10892931	6808106	215748
9236919	9264627	9012957	9935551	12656269
9967735	10966970	10334345	10077461	7052921
9058752	9010629	8566379	10028304	10860554
9045062	9595891	9406279	6918065	9059209
9991610	10542458	10993247	60020410	9047447
7887762	9014779	9611688	11040396	11013783
10034029	9577170	9024638	8960608	7917352
8975791	11469424	9339345	10037367	9089362
9771997	7775870	11018038	10082329	9853318
9294346	10701874	8947167	8887603	9085185
9133565	8420902	10046544	8648388	7971000
9052646	10531386	8939679	9340352	11150675
9816956	9017592	10017082	9027590	9035863
9992870	10320483	8989943	10001326	9220045
9020551	9687234	9007348	8284388	8640233
9984982	9460501	10661138	10252443	9246986
8014948	10538574	8003584	8437026	9661138
10001453	8314290	61418218	10068808	8986350
8925710	54096355	9529892	9004262	9133446
9759587	8995619	9049141	9338874	9064673
8236619	9971697	9400185	9735182	9827065
10022006	10066557	8667755	9813373	9056943
9702638	8521463	9939578	10048346	10085822
8283338	10410966	9385955	10044935	9147240
9794400	9060915	8892339	9985824	9671091
9275102	9972801	10068637	8973977	8139489
9000985	7677308	8620151	10026297	9923118
9002900	11947999	9094528	8964186	9075466
9939633	7384496	10906246	10000040	8880563
8985180	10048118	7406883	9128407	9484397
65106971	8651676	9978551	10434065	9635029
4917087	10878199	2081622	8043139	9973945
12045728	8958781	6522750	9757522	7969193
8091090	9043204	9403657	10196071	8933664
9936046	11343697	8938667	8463032	10086770
8996076	7842730	9654607	9969992	8979521
8715823	11267394	9396355	8983580	8882303
9234777	7986264	9714776	9230294	9167219
10004055	8965271	8248968	9783992	10033853
9786079	10943190	10060352	7977536	8902097
9166760	5586691	8574082	10049013	9937253
10018517	14404217	9443514	9402668	2407430
8828293	8093228	9944098	10546767	3890413
11197723	10980950	9008793	9023598	11817223
9017542	8650089	8987060	10123786	6988321
10013073	10276468	9674941	10867927	11109286
8924994	9586513	9365435	9094090	8897300
10781039	9503590	8976745	8540932	9079537
9267413	8570106	11122822	10531151	9919149
8987198	12405929	8985424	9902080	8937202
11067410	6656634	8940656	9217349	9041281
8983319	11943490	9993900	12928867	10052661
10641954	9462003	11096057	5867496	8944284
8313082	9549422	9513421	11100461	8095690
11005646	9381146	8313085	8965720	10857922
9088975	10123595	10044933	10083402	8143853
8638563	8983217	9009193	6763688	10944309
9457587	9856678	10616346	10049033	7995472
9472150	10038684	8369905	9591743	9976338
9314148	8981619	10029589	9026953	9941148
9031131	9996573	8694928	9364944	7007117
9006679	9975854	10258349	9034000	10138992
9707270	9675961	9064618	9604026	9887828
10285514	8853335	9058136	9989343	9013934
7996471	10026562	9540081	8919528	10020355
10018492	8077067	9015944	9065503	7998462
9044130	10295715	9304178	9383329	11086037
9923916	8709386	10099686	8945489	7926507
8964952	9469768	8534453	10040868	10126654
8998584	8435801	9417005	8182835	8856114
10763488	10129507	8956130	9898955	9245237
9294271	10342111	10059662	9892548	10004984
9166187	9113223	9023720	8050832	8646603
10527766	9857502	9597614	13131968	9042970
9315787	8751597	10063321	6917928	10082660
9999669	11265928	9399868	9068473	7898560
8923476	9001363	8586091	8911553	10242658
10719107	10004999	10045792	10005892	8843868
9291715	9679652	8891595	8559281	10062991
10102609	9978912	10429804	9394432	9017024
10000737	10354274	7924042	10076718	8892276
9696882	8524033	10659807	9190257	9018744
9302297	9046789	8060500	8903495	10092307
9907779	9398752	10444015	9944089	8897033
9017100	6851758	7699370	8099009	9119299
9046496	15207873	10132125	10955849	8860741
9725872	6603905	9123807	7910406	10126414
9224239	9867000	9943108	10018890	8779907
14114411	9502196	9062042	8963116	9035053
3960954	9579471	8865286	8955812	9227658
9993249	8940055	9031190	10105452	73896023
8976363	9460133	10071525	8989150	5986845
8884061	10003060	9972644	9015438	9919191
9805714	8979009	7667051	8974126	10114160
8978474	10099295	9927603	9510560	7865430
10319398	10471221	9052680	60557348	10299169
7992324	9114808	10102966	10028696	8794503
10001201	9933980	8983051	9785863	9919127
8720225	8068163	9210907	8163145	8478583
9058114	10293702	8709050	8939658	9618334
10247178	9035979	11054686	10156908	9279609
9986767	9046077	7941838	9908191	9753758
7930240	9575626	9979164	7007390	8045710
10230039	9385789	8031747	11172795	10782750
9498724	10675344	11340375	9726223	8348204
8268859	8880686	8074166	8094826	9856892
9025283	10147490	9982409	9984397	8903726
10022456	8374755	8994791	9086499	9920405
9012119	63834696	8664559	8913136	9024552
9014913	9727453	9897249	10045788	10091634
9995290	9111596	60398220	8068117	7882338
8988994	11333764	9611852	9917274	9165942
9025337	7951794	9449242	10012780	9927480
8944082	10909312	8634822	7903517	9265581
10039749	9193995	9364975	10005214	9673756
8951569	9949502	10035972	10102964	8028224
9052566	10031521	8958510	8884778	10204500
9045448	9557301	8908575	9000300	9736367
9915308	10309434	10132022	9061399	9268172
9030610	9108797	8932220	10012795	9712815
11042131	9450397	8939256	8920882	9221183
49718587	8448799	9108427	8943465	9152953
9403979	11012284	9747025	10249053	8761054
8905123	9077614	11150228	6993136	10189837
8888645	8922067	7058006	12373351	8852566
10059408	9987728	10044603	7467418	9887565
10037597	8626543	7926922	10022949	8073276
9690816	9386576	9694813	8115327	13895050
9349174	9007972	11309279	11393066	3345893
10905789	10102562	5586534	8449857	11789982
8981651	2962698	13403252	8072992	8948641
9766349	3469628	6030178	10183503	10009053
9232348	12978186	10941777	8748568	8917623
9834786	7432209	9029425	10067193	10026314
10895545	11124517	8675384	9015907	10042163
8074020	7473922	9390232	9982253	9017694
12194625	11440646	9559380	9016897	9010660
6985401	8107723	9383575	3891936	10971067
12088816	9897143	8976530	2041713	9210843
7934462	9714800	10111721	14019315	9724019
11047468	7938958	9486658	6100198	9030015
9017982	11290019	8402130	28860531	10956069
9049582	9046804	10098710	11060431	10045914
9925662	8614010	8924051	7897368	8395747
9071502	12011017	9057145	10951250	11676739
8958164	7197819	9907912	7406815	7882220
9040228	11891975	8039561	10715685	9970281
9954348	7883127	11085492	8980983	11089879
9037485	9400710	7931813	8991218	8365441
8649333	10104593	9954419	11252624	10770369
11026090	8927812	8036367	8961647	9820066
7950201	9098069	10941405	8324583	8061830
9353736	9802521	8138130	9398262	11043537
9653910	8689307	9949440	9018168	8958987
9256102	9162911	8958195	8402469	11064697
9726281	10907093	9103543	11198691	7984622
10392819	8994745	8853039	9436279	10930684
8930189	10350330	10983712	7256437	9036221
9991916	9648697	8168675	11758677	10998036
10005397	9443774	8890524	7052229	9023786
9710630	9516594	10101912	11033591	9014649
9279560	10427389	8822830	6899806	11008574
11059419	9620366	9161688	12162547	8880688
7994037	8963274	8825830	8010322	8960160
10071927	9326567	10078645	9858732	11040747
9875787	9994996	9026380	9073151	9052420
10042395	8117226	9579258	8438272	10041322
9907323	10518383	9514160	9572873	9923404
9788540	8468597	8888449	8981098	10064175
9305788	9562389	7952847	8919797	9130885
9904262	9325356	11208286	10994001	9924690
9053148	9073229	7847745	8007394	10056809
11055605	10965542	9982616	8964867	9871294
8662509	8620340	9069756	11195238	9037065
10244877	10021867	9929699	8028566	9980936
9720672	8921853	8984960	9872140	9961187
9254017	11458244	9036188	7948099	8952492
9068014	7951017	9963298	12085708	10051129
9917329	10619804	7860611	6914939	11030856
12776227	9005320	11159468	9956988	9036532
7321428	9048021	8079309	9035227	53899505
8923571	10358204	8943932	8971311	7076639
11001510	8112904	9894136	9036201	10963070
9066430	10443872	9007768	9979810	9051142
9976425	8493932	9704749	9110064	10976944
8771090	10618448	8996860	9859362	9119181
9184692	8915078	9081562	8007217	9886032
10048716	10014380	9338812	52149676	8996974
8990161	9949011	9494291	7881180	11017083
9737942	9475229	9497427	9004419	9919903
10192077	8938973	8718185	11135698	9062836
9085610	10715709	9844058	9006181	9919778
9936407	8397333	9097267	6940394	9030633
11057785	9990785	9003929	11995215	10156696
8753865	9541045	9879337	7951066	9948598
9303070	8047314	9079405	9109514	10014111
10869258	10390873	9349580	9958335	7827919
9041565	8769146	7747283	9039064	11058547
9764458	10140403	12375839	8901234	10230863
9250822	63730957	7535604	10042072	9662445
10022491	8370374	9453005	9067862	9051554
7987494	9529308	9978020	9397537	9246952
9395271	9047971	59961015	9449371	9770965
11653438	9906559	9556287	10065075	9985622
7001448	9155015	8387684	7989777	10021551
9951919	8961164	9963652	11032900	9224684
9737547	9311943	8583749	7464438	10011653
9225172	9629017	10377084	10408737	9793512
8047903	9321806	8149164	8061686	8959408
10938874	8645903	9878924	9273227	11027859
8043429	11107711	9092417	10648837	9002277
62020180	7919430	9582790	8128248	10065465
8916723	10017221	8986945	10497941	9944766
10838600	9032689	9924327	8571024	10052126
8968678	9361515	8424718	9793229	9096691
9165241	10953362	12083513	8006875	9882354
11035479	8718518	6539359	11022988	9936958
8994002	10314309	9943175	7969828	10178559
10004638	8961732	8511825	9184070	8900482
8996985	10669818	9986080	9906349	9906768
10068903	8975996	8928797	9039709	7092774
8960796	11438408	10043701	9889248	30980237
9985753	6522917	8631973	8323232	14092140
9734457	13028317	9448320	10756185	7934167
9307257	7506284	8864107	7961593	9991012
9129479	11002371	8359278	8970561	10048676
8805490	8919374	12630423	9980149	8909759
10063269	9744959	7105451	8542851	11035825
8970151	10862121	8959510	9804104	8973785
9683642	8476480	10190355	14664340	10033375
8351191	10597494	8875853	2020707	8901468
11125371	8910776	9891669	11041533	10077716
7971837	10341455	7988371	9345645	9962010
8838519	9043594	11017833	9526470	9025600
10769437	10039817	8104646	8159069	9987603
8278042	8611777	9911792	10450133	9931328
10241845	9424030	8672426	8495039	9088126
8908809	8931098	9447446	9113873	9886069
9878286	9672002	8700505	10405383	10090077
8980904	10021118	10167703	9638920	10047233
9742691	7889341	10001475	7883500	9146964
8455231	10489490	8032254	10958649	10911527
9810398	8580450	9931906	8181387	8933330
8761779	9181607	8683244	9769720	10903099
9939221	10168853	10306730	10126552	8163204
8321914	9090657	8013548	8073255	10847335
9889493	9993513	10022310	9825800	9172404
10078274	9611897	9156217	9003761	9820474
7953462	9293778	8836183	9143264	9013728
11012615	10641605	9987749	10018714	12062691
8046704	8304198	9161814	7979100	8033627
9969703	9659568	8843808	9857393	9962297
9094302	10069467	9991393	10116846	8959023
8684706	7915183	7727891	7070653	11928014
10946760	11414571	11956658	11884167	8100686
7997495	8023030	7478961	8038746	10079704
9265223	10009531	8600284	9156407	10032816
9781739	9081662	10382667	9791868	9785184
8238638	8989987	8652455	8903179	9189811
