CPU Low (ns),CPU Medium (ns),CPU High (ns),CPU Medium & Memory Intensity (ns),CPU High & Memory Intensity (ns)
7912761,109215,8986749,9183681,8047227
11923935,109143,8914538,2911242,10072966
7954637,112280,14185688,3268867,9054583
11031641,115682,4918099,12730580,8946884
7859510,273275,11965909,10018177,9976601
11089679,114669,8028654,8793964,9217312
10121872,107165,10845460,11010809,8735368
8925760,96550,9293267,8052785,9092117
8970549,110139,9847370,11012114,9966660
10964276,109244,9027933,6966834,8899642
10006109,110030,10939583,11971964,9106238
7952136,193357,8752605,9967384,9851386
11168902,106537,11274401,8938566,9046694
9780715,106877,7969580,10015188,8956003
9127252,107007,10910622,10072550,9091326
9944807,107889,8945582,9900555,10009073
9885063,108447,9365674,9144513,8971906
8958470,109644,10663457,10928029,8058979
10116999,118197,8996156,9061985,10923516
11103462,143228,10248285,8877553,8938120
7922643,120569,10676790,3111565,8309268
10885111,237833,8013987,5900237,9799260
8983060,118696,10977510,10125159,9869867
9954636,62730,9114861,8959050,9048371
8984973,111213,9926270,10043170,10880162
10082493,109460,9016674,10845163,9212630
9014310,99781,11055426,8176386,8898170
9955824,325597,8936764,9810265,10956695
8069673,121947,10012441,10228263,9081760
11012200,108109,9072880,9763393,9856252
8863807,109313,10962937,10098784,7194860
10133117,108095,9013997,8923812,13854289
8959635,110782,10019697,5034356,7970040
11945524,110099,10801811,978873,8960880
7962226,135325,8121691,7018306,10013010
10016366,504756,9941009,2935411,9209926
8904210,159272,9857840,11965439,10692238
9551711,159644,9119674,1080006,9081267
27653667,100062,11072183,8960859,10224787
748807,140342,8959754,6006271,10687089
14027909,114011,8898359,225048,8286423
8116052,105627,11030815,11774184,11793638
10055429,106733,9980694,7925702,7983445
8872181,107702,9091767,10053723,10031841
11021677,108042,9911305,9939938,9966269
7989735,109377,8965544,8006938,11088855
11932079,113428,11189268,11037707,7955630
8099791,251223,8899180,1028280,9930368
10899264,105272,9965820,4869016,11078088
8936945,105657,9864169,11085822,6943710
10061596,107075,9116976,9261386,11161631
8935816,115065,10029262,1699868,10876448
11168140,110162,9891075,3984177,7893964
8819126,132976,9026395,113072,11981276
8939915,122155,11009062,2802116,7143856
11133650,149167,9090589,136477,10879238
9017486,134216,8840543,208131,9911984
9853073,105760,10939141,1729990,9055551
10008696,106417,9175882,4085436,10030675
9053939,107601,8875977,865927,10978393
10065971,108448,12046844,967676,7924575
10008098,113072,7918310,299631,11062614
8914229,113030,10104599,12744506,10093336
11956944,115451,9909514,109245,8938245
8030889,68514,9011775,5913560,9967783
9277515,150000,10024818,12891085,9034858
10642062,108505,8886270,7167245,9919591
10132036,107341,10970555,10871179,12036461
8853241,108555,9117610,9023282,7096233
8951342,111608,10020096,7927086,4993670
10967899,109241,9963660,9396629,2160282
9283518,109673,8873181,9540853,13700189
9735575,259760,10053318,9424543,8067133
10172827,86769,9972627,9628583,10063494
7385417,130339,8937315,8941595,9820082
11499031,141119,11042629,8984112,9017471
9225430,131955,9042213,10071738,10219652
10806188,135163,9911558,8242550,9919409
8881877,133035,10014560,9679851,7319050
11072556,140044,8093677,10011022,14537042
7918209,71289,10986250,8024639,7006881
11230395,105776,7999625,11059490,9961291
9939419,100077,11999850,8906486,9205568
8945767,107255,7824317,11021810,10887469
10032035,107575,10111058,8018363,8893009
9917322,117034,9958447,9427503,9984052
8855408,109584,10190162,10587767,9961399
11042661,112524,8751304,10014396,9043224
7994125,115723,10985400,6962710,10115531
13016566,104451,8097551,11066381,9852982
6994557,121208,10954395,10053373,10089157
10276055,105339,9078423,7939542,8913270
9796809,253583,9937769,8870178,10019278
9079878,117127,9967221,9229177,10051670
11664716,116875,999260,9767018,9255990
7101807,42069,1359138,9072005,10730514
12030377,115082,2654436,9909211,9142076
7940447,139448,15145602,10096119,9866491
10969720,107713,5837400,7921635,8858211
9029802,105884,10948475,10132681,10090110
10034444,106266,9059058,8966982,19272303
10083553,107174,10056346,9952494,9662246
7972751,110504,9927447,9024230,10016176
11935083,131915,7069239,8992449,7935473
6893330,133969,11916844,9904347,11024602
12046796,356648,7963174,8020115,9037756
8944481,115882,10027982,11009736,9911202
10049517,111427,7406588,9267504,8063447
8929405,108426,29483987,9775865,10938873
10061147,114860,14936999,9173922,8078935
11023148,110153,8057718,9819699,15058661
7903103,249668,10031796,7941890,2035878
10986689,528829,9938246,11036497,11850440
9068889,160002,9223378,7283552,8083761
9958752,162502,9696184,10716302,9997782
9011927,149882,10904274,9047406,8858183
12043329,124165,8139191,8936531,9062362
7905226,150353,10965283,5134370,11103365
9996035,137561,9258236,910972,7927136
9256068,110811,8829095,11870579,13282138
10025043,100416,9892876,9449078,5003181
9712600,130426,8969845,10642179,10603320
2871094,115952,8952815,6882512,7949684
2440059,109260,10022324,9140846,11060959
14788557,128216,9172302,9936792,8039187
7870704,106139,9808628,8891692,10042924
10081695,106704,8034031,9033799,7937400
10961101,108068,10240535,10092910,9897499
8012746,113850,10901004,8871541,10084984
10100726,110646,8850562,8989434,8918100
10808564,9772108,8905291,10068196,10202144
8306714,10567071,11027093,5076084,7855630
10738762,10070893,9038611,951247,9986994
9113381,9143726,10175506,927242,8995015
9951774,8904433,9804318,8423108,8961683
10021560,9862666,9069029,6563104,8987880
8850405,8414848,8897700,158679,9992712
11048406,9763706,11194667,128885,10056424
8094144,9759879,8926602,11787094,7889234
10968315,8043168,10049613,9004038,9269372
8889063,10082026,9913706,8983540,10905303
9148279,9152626,8041508,25950662,8023956
10967204,9711651,11903492,3096410,10770504
8036399,8334829,8912003,267906,7040104
11013071,9814593,8908027,9605714,1041348
9846844,76804,10008356,5009848,166466
8953788,7876542,11147109,3041478,436855
10289115,334824,8991663,2207605,3456980
9819938,6580431,9911692,1803540,13008644
8886387,12292168,9927555,4210165,7774078
10972584,7722725,9088319,10698324,9113760
8163306,10001256,10003666,12127440,8928959
10947561,8034823,8415617,6892906,9108104
9832210,10452631,11649581,9978429,9975329
9103739,8624703,9021626,179934,10178467
8912306,9906226,9859080,9900558,7811069
9184615,9061688,10025972,7060217,10091206
9946093,9187883,10071088,238645,8927580
8086387,9763272,8050503,9683247,9998996
9761528,9009663,10837730,1000108,8888993
10071936,8948856,9097782,8154098,9079858
8026812,9262621,9974355,9924591,8892474
9901619,9729023,10869110,8762258,9945937
8407128,8601395,8023717,9983861,8974718
9903021,9491455,9923325,10243661,9019236
9257390,5050337,11279172,8846058,9973152
9390482,107204,8843257,9119108,9033175
9047115,116688,10133938,7853801,9243529
9403399,122157,8808758,12124237,9704187
8854427,110745,11018575,1849398,7991422
10009537,109267,7933485,5038729,9999371
606595,112799,11134725,296255,9050446
6187178,132528,8935683,7697186,10967279
12915467,151475,10808476,127241,6191379
8005707,105527,9041370,10874822,10870196
8290150,112228,9108462,7941118,10007622
10709831,107353,10938975,8131675,6317834
8057105,139064,8963006,9201217,15618316
10036518,136931,8971971,12733565,4000101
98809,141129,10130182,8935557,11028011
5861722,152866,10849777,10138957,7979517
12054973,125793,8986258,9805708,9928865
8130138,203456,10078344,9384382,10183615
9774932,201819,8823498,11772304,3858846
9027550,202893,11147091,8977087,1950948
9898370,239290,9878597,8962588,11115591
9007510,146962,8048089,10001384,8822689
6025226,71905,9942630,11035529,10051578
12407736,105917,11096367,8951294,9173699
8556048,107594,7011015,9978910,8716160
10033527,108189,11988483,8959458,9030266
8385441,108810,9922614,10143797,9051610
9884872,109773,8978762,9950578,10061336
10895776,198090,9970114,8968621,9008265
7996531,107209,9153914,9983002,9026893
9855480,431433,9880381,8969052,9872401
7948092,125127,10945444,11098357,8872983
10009215,120838,8000140,8964688,9270982
8940823,102237,10199869,9998607,8846890
9140028,138383,25084617,8918371,10007996
9352840,276850,4690933,11091502,10041356
9607887,115702,11105057,8946914,7832265
8929650,93097,8968450,9884541,10054491
9174250,127889,9835698,9048469,9204150
9861992,114038,10093403,10922787,9792218
8992941,120041,8878810,8026682,7944685
10049231,158272,10245612,11110275,11232909
7900333,139605,9840594,9871765,7816523
10217527,112046,10051523,8968548,9983406
8810449,115568,9054669,9991270,9099268
10065487,110644,10794100,9972454,8907668
8061537,109378,10004209,9039397,9133560
10897742,112790,8047668,10030967,8812997
7937537,110404,11111918,1116327,10952282
10175541,142685,10026538,1000620,6982048
8916139,7496923,8857209,3165594,10222570
11949746,12529740,10099318,13795835,9855717
6030690,7042944,8864571,6843595,8855738
10239226,10982727,11053930,12118984,10071086
8951980,5930463,9089706,6869684,7911627
10873831,11969582,9021153,12095826,10063188
7906208,9163412,10791046,8141665,10027757
9038070,9177538,8023064,10795485,7945980
10965170,9737099,10126380,9078440,11045966
7927885,9004949,9762550,9909205,6878864
8997927,10055707,8067413,10019773,11191899
10089279,8074678,9974835,8943762,7104872
8365684,9825643,9159187,180171,10814009
10000652,8990924,9855930,8862139,8186343
9591585,9171869,8146978,10032818,9649162
8043220,9000024,10813575,3112980,10009385
10939186,23811934,9147736,3824745,9022269
9010585,5990187,9895884,11968443,9050023
9043770,10485288,10119230,8029169,10011200
9027490,9696014,8881594,10950063,9876034
8950408,10920945,11050173,8996037,6992745
10048875,8996825,8859344,10052816,10980291
8934602,9977224,11166469,8919801,8142478
8954683,7052385,7878903,10072573,10979045
8960271,12912080,10920952,8163648,8914631
11009879,8189294,9065003,9818026,7959640
9001538,10802205,10029754,9955087,10048510
10097876,9976956,8947508,1162161,9017628
11000798,8031944,10073720,5778441,10005340
7929907,9912653,10964950,10096365,8881225
9344476,10118530,7979826,9953198,9092720
10563743,8902737,10933142,8958851,9984118
9005025,9146868,8957121,11245290,9017478
11038620,9912142,10952382,854642,9002445
8979728,8895735,7910864,4970712,8946674
10028352,10028184,11078887,12150010,8974339
9968162,9216601,7919778,7968970,10013647
8980797,10781887,10013195,7730727,8984780
9991541,9028738,9052707,10008614,9029161
8154047,9326116,8894515,11167489,9031376
10793911,10694489,11061379,7103898,10853076
8068181,8952332,8001330,9835829,7923749
10058267,11019573,9911147,9917375,9938922
8899772,7398641,9053234,7973589,9175226
9992226,9967645,7848629,141720,8949302
9057081,10686987,12145267,8916568,9884907
9928915,8282741,7955722,10012487,7142342
9043566,8656704,9862860,1976903,11938019
9059477,10041607,11105075,5916684,8057790
8927213,6040700,8104226,9535312,8744369
10073711,156783,10857670,9664472,10031197
8920320,118597,7931274,9804635,9022703
10018387,117714,11024723,9046119,10025734
9093874,124121,10159755,9226769,8953983
10373243,111296,8851936,9727466,8954056
9493303,113119,10155759,9056266,11175588
10125185,139362,8886802,9456520,6959976
9271675,134437,10934081,8853850,9924636
9977638,106323,10048471,9813273,9024990
9644603,116229,7948948,9902166,7665729
10001634,118276,10968071,10100100,12347798
9131109,116545,7074079,6989161,7998505
10881008,110548,10973399,10166697,8934388
8034188,111981,8983308,9757770,8994214
10975551,159006,9970353,8980370,10198271
8560520,63706,6907163,9885910,9849257
9365422,107524,12116934,8050574,8972538
10111400,106822,10894490,10076513,7940679
6012312,117721,6139065,9067477,11984030
12891882,109574,11885631,9273498,6991183
8014146,110844,688125,9476763,10062349
9300146,111388,1560587,8982678,8987033
9698713,114521,1850131,9067524,8962606
9007940,146546,12906025,9930907,10027338
9221062,276779,7973040,8527548,7890741
9818473,54536,10977333,9463733,11999999
9919014,163954,10105116,10047648,6897562
8066217,136568,10004879,86889,9042763
10195491,114510,8270010,6928962,11155967
